Smart Contract Address,True Positive
0xd116d1349c1382b0b302086a4e4219ae4f8634ff,TRUE
0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,TRUE
0xa91a453abde404a303fb118c46e00c8f630216a9,TRUE
0x8c7777c45481dba411450c228cb692ac3d550344,TRUE
0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,TRUE
0x7a7d08bcb2faf27414e86ecf9a0351d928054b6b,TRUE
0xd518db222f37f9109db8e86e2789186c7e340f12,TRUE
0x62d5c4a317b93085697cfb1c775be4398df0678c,TRUE
0xdad02644b70cbb20dec56d25282ddc65bb7805a1,TRUE
0xbabfe0ae175b847543724c386700065137d30e3b,TRUE
0xe610af01f92f19679327715b426c35849c47c657,TRUE
0x7a8721a9d64c74da899424c1b52acbf58ddc9782,TRUE
0xb4c05e6e4cdb07c15095300d96a5735046eef999,TRUE
0xe4c94d45f7aef7018a5d66f44af780ec6023378e,FALSE
0x941d225236464a25eb18076df7da6a91d0f95e9e,TRUE
0xfa8bb2a68c67e39409cd336d1a8024a2ad9a62ff,TRUE
0xff5a11c0442028ee2a60d31e6ebb3cbac121ffe5,TRUE
0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,TRUE
0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,TRUE
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,TRUE
0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,TRUE
0xa5d6accc5695327f65cbf38da29198df53efdcf0,TRUE
0x463f235748bc7862deaa04d85b4b16ac8fafef39,TRUE
0x60bf91ac87fee5a78c28f7b67701fbcfa79c18ec,FALSE
0x23f890c412f3f06784a30ba40ed4832a0fca55f0,TRUE
0x561eac93c92360949ab1f1403323e6db345cbf31,TRUE
0xdd17afae8a3dd1936d1113998900447ab9aa9bc0,TRUE
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,TRUE
0x95d34980095380851902ccd9a1fb4c813c2cb639,TRUE
0xbf64a825e602a4f1c31480a470e99e1d896c88a7,FALSE
0x4e73b32ed6c35f570686b89848e5f39f20ecc106,TRUE
0x477d1ee2f953a2f85dbecbcb371c2613809ea452,TRUE
0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,TRUE
0xc86e7c69a53582537cc52c4dfdeaeae27a84d7c5,FALSE
0xa6c76471cc89cff4e65cc1fc36613f3c31e4d0d1,TRUE
0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,TRUE
0xd754ee6a9e8964602f48e11971e79d0b2f6452d5,TRUE
0x2f846758e479ee7e0bd87cea5b9f8f3e314c6bd9,TRUE
0x85179ac15aa94e3ca32dd1cc04664e9bb0062115,TRUE
