N-gram Threshold,Levenshtein Threshold,Precision,Recall
0.5,0.5,0.935794,0.257408
0.5,0.6,0.962514,0.256117
0.5,0.7,0.974936,0.24535
0.5,0.8,0.98491,0.2068
0.5,0.9,0.981159,0.158892
0.6,0.5,0.956038,0.216922
0.6,0.6,0.966022,0.216863
0.6,0.7,0.976267,0.21481
0.6,0.8,0.984838,0.205803
0.6,0.9,0.981159,0.158892
0.7,0.5,0.973146,0.187115
0.7,0.6,0.973146,0.187115
0.7,0.7,0.978097,0.186029
0.7,0.8,0.983003,0.183242
0.7,0.9,0.981159,0.158892
0.8,0.5,0.980205,0.153993
0.8,0.6,0.980205,0.153993
0.8,0.7,0.980168,0.153699
0.8,0.8,0.980113,0.153259
0.8,0.9,0.979548,0.14613
0.9,0.5,0.977932,0.111805
0.9,0.6,0.977932,0.111805
0.9,0.7,0.977932,0.111805
0.9,0.8,0.977932,0.111805
0.9,0.9,0.977915,0.111717
